RAM 1397/7850MB (lfb 393x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2034,0%@2035,100%@2033,0%@2032,0%@2033] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@47C BCPU@49C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 837/906 VDD_4V0_WIFI 0/0 VDD_IN 4840/4862 VDD_SYS_CPU 1599/1516 VDD_SYS_DDR 1250/1264
RAM 1456/7850MB (lfb 379x4MB) SWAP 53/3925MB (cached 7MB) CPU [97%@2032,0%@2036,0%@2034,100%@2030,0%@2032,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/907 VDD_4V0_WIFI 0/0 VDD_IN 4840/4860 VDD_SYS_CPU 1599/1522 VDD_SYS_DDR 1250/1263
RAM 1618/7850MB (lfb 377x4MB) SWAP 53/3925MB (cached 7MB) CPU [65%@2032,0%@2036,0%@2034,100%@2031,4%@2032,2%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 3%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/907 VDD_4V0_WIFI 0/0 VDD_IN 5068/4875 VDD_SYS_CPU 1523/1522 VDD_SYS_DDR 1307/1266
RAM 1782/7850MB (lfb 371x4MB) SWAP 53/3925MB (cached 7MB) CPU [69%@2032,0%@2034,0%@2035,100%@2030,4%@2031,6%@2031] EMC_FREQ 1%@1866 GR3D_FREQ 28%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@47.5C BCPU@49C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/908 VDD_4V0_WIFI 0/0 VDD_IN 5107/4890 VDD_SYS_CPU 1523/1522 VDD_SYS_DDR 1307/1269
RAM 1978/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [75%@2029,0%@2035,0%@2035,100%@2028,6%@2030,5%@2029] EMC_FREQ 1%@1866 GR3D_FREQ 95%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 228/156 VDD_SYS_SOC 913/908 VDD_4V0_WIFI 0/0 VDD_IN 5145/4906 VDD_SYS_CPU 1523/1522 VDD_SYS_DDR 1327/1272
RAM 2031/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2031,0%@2036,0%@2035,100%@2031,4%@2029,10%@2031] EMC_FREQ 2%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.25C VDD_SYS_GPU 609/183 VDD_SYS_SOC 913/908 VDD_4V0_WIFI 0/0 VDD_IN 5259/4927 VDD_SYS_CPU 1218/1504 VDD_SYS_DDR 1423/1281
RAM 2031/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2032,0%@2035,0%@2035,100%@2032,4%@2031,3%@2030] EMC_FREQ 10%@1866 GR3D_FREQ 97%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/211 VDD_SYS_SOC 1065/917 VDD_4V0_WIFI 0/0 VDD_IN 6057/4990 VDD_SYS_CPU 1141/1484 VDD_SYS_DDR 1900/1315
RAM 2031/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [8%@2033,0%@2035,0%@2035,100%@2032,5%@2031,4%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 83%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/236 VDD_SYS_SOC 989/921 VDD_4V0_WIFI 0/0 VDD_IN 5676/5026 VDD_SYS_CPU 1218/1470 VDD_SYS_DDR 1651/1333
RAM 2032/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2031,0%@2034,0%@2035,100%@2030,7%@2031,7%@2032] EMC_FREQ 9%@1866 GR3D_FREQ 75%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/258 VDD_SYS_SOC 989/924 VDD_4V0_WIFI 0/0 VDD_IN 5714/5060 VDD_SYS_CPU 1218/1458 VDD_SYS_DDR 1651/1349
RAM 2032/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [13%@2029,0%@2034,0%@2035,100%@2030,14%@2031,8%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 47%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.4C Tdiode@47.5C VDD_SYS_GPU 609/275 VDD_SYS_SOC 913/923 VDD_4V0_WIFI 0/0 VDD_IN 5409/5077 VDD_SYS_CPU 1294/1450 VDD_SYS_DDR 1480/1355
RAM 2032/7850MB (lfb 364x4MB) SWAP 53/3925MB (cached 7MB) CPU [13%@2032,0%@2035,0%@2035,100%@2033,15%@2033,19%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 92%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.1C Tdiode@47.5C VDD_SYS_GPU 533/287 VDD_SYS_SOC 913/923 VDD_4V0_WIFI 0/0 VDD_IN 5030/5075 VDD_SYS_CPU 1294/1443 VDD_SYS_DDR 1307/1353
RAM 2096/7850MB (lfb 363x4MB) SWAP 53/3925MB (cached 7MB) CPU [36%@2031,0%@2035,0%@2035,100%@2030,10%@2031,6%@2030] EMC_FREQ 2%@1866 GR3D_FREQ 18%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 228/284 VDD_SYS_SOC 913/922 VDD_4V0_WIFI 0/0 VDD_IN 5183/5079 VDD_SYS_CPU 1370/1439 VDD_SYS_DDR 1307/1351
RAM 2239/7850MB (lfb 355x4MB) SWAP 53/3925MB (cached 7MB) CPU [60%@2031,0%@2034,0%@2035,100%@2029,7%@2028,6%@2032] EMC_FREQ 2%@1866 GR3D_FREQ 1%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 228/282 VDD_SYS_SOC 913/922 VDD_4V0_WIFI 0/0 VDD_IN 5183/5084 VDD_SYS_CPU 1523/1443 VDD_SYS_DDR 1327/1350
