RAM 480/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [52%@1997,0%@2031,0%@2028,21%@1998,3%@1997,7%@1993] EMC_FREQ 9%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50.5C BCPU@51.5C thermal@51.3C Tdiode@50.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4497/4497 VDD_SYS_CPU 990/990 VDD_SYS_DDR 1307/1307
RAM 571/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [93%@2030,0%@2035,0%@2036,10%@2028,22%@2031,2%@2033] EMC_FREQ 4%@1866 GR3D_FREQ 2%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50.5C BCPU@51.5C thermal@51.1C Tdiode@50.25C VDD_SYS_GPU 228/190 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5068/4782 VDD_SYS_CPU 1370/1180 VDD_SYS_DDR 1307/1307
RAM 776/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [98%@2031,0%@2036,0%@2034,5%@2031,66%@2032,13%@2033] EMC_FREQ 3%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@50C VDD_SYS_GPU 228/202 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5333/4966 VDD_SYS_CPU 1599/1319 VDD_SYS_DDR 1346/1320
RAM 916/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2036,3%@2033,87%@2031,6%@2031] EMC_FREQ 2%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50C BCPU@51.5C thermal@51.2C Tdiode@50C VDD_SYS_GPU 152/190 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5295/5048 VDD_SYS_CPU 1751/1427 VDD_SYS_DDR 1307/1316
RAM 980/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2034,0%@2036,0%@2035,0%@2035,100%@2034,1%@2035] EMC_FREQ 1%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50C BCPU@51.5C thermal@50.9C Tdiode@49.75C VDD_SYS_GPU 152/182 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5030/5044 VDD_SYS_CPU 1675/1477 VDD_SYS_DDR 1250/1303
RAM 1043/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2022,0%@2034,0%@2036,1%@2028,100%@2030,1%@2029] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50C BCPU@51.5C thermal@50.9C Tdiode@49.5C VDD_SYS_GPU 152/177 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5035 VDD_SYS_CPU 1675/1510 VDD_SYS_DDR 1250/1294
RAM 1106/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2035,0%@2034,0%@2035,1%@2035,100%@2035,1%@2035] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@49.5C BCPU@51.5C thermal@50.9C Tdiode@49.5C VDD_SYS_GPU 152/173 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5029 VDD_SYS_CPU 1675/1533 VDD_SYS_DDR 1250/1288
RAM 1170/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2034,0%@2035,0%@2035,1%@2025,100%@2032,1%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50C BCPU@51.5C thermal@50.7C Tdiode@49.5C VDD_SYS_GPU 152/171 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5024 VDD_SYS_CPU 1675/1551 VDD_SYS_DDR 1250/1283
RAM 1234/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2033,0%@2035,0%@2035,2%@2030,100%@2027,0%@2029] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@49.5C BCPU@51.5C thermal@50.7C Tdiode@49.25C VDD_SYS_GPU 152/168 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5021 VDD_SYS_CPU 1675/1565 VDD_SYS_DDR 1250/1279
RAM 1296/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2034,0%@2036,0%@2031,100%@2032,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@49.5C BCPU@51.5C thermal@50.9C Tdiode@49.5C VDD_SYS_GPU 152/167 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5018 VDD_SYS_CPU 1675/1576 VDD_SYS_DDR 1250/1276
RAM 1360/7850MB (lfb 401x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2000,0%@2034,0%@2034,1%@2028,100%@2032,2%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@930 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@49.5C BCPU@51.5C thermal@50.7C Tdiode@49.25C VDD_SYS_GPU 152/165 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5015 VDD_SYS_CPU 1675/1585 VDD_SYS_DDR 1250/1274
