RAM 477/7850MB (lfb 413x4MB) SWAP 53/3925MB (cached 7MB) CPU [41%@1996,0%@2029,0%@2031,41%@2033,1%@2034,5%@2035] EMC_FREQ 3%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50.5C BCPU@51.5C thermal@51.1C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 914/914 VDD_4V0_WIFI 0/0 VDD_IN 4420/4420 VDD_SYS_CPU 990/990 VDD_SYS_DDR 1288/1288
RAM 567/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [82%@2031,0%@2035,0%@2034,22%@2030,18%@2031,7%@2030] EMC_FREQ 2%@1866 GR3D_FREQ 2%@318 APE 150 MTS fg 0% bg 0% PLL@51.5C MCPU@51.5C PMIC@50C Tboard@47C GPU@50C BCPU@51.5C thermal@50.9C Tdiode@50C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5030/4725 VDD_SYS_CPU 1294/1142 VDD_SYS_DDR 1307/1297
RAM 764/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2035,3%@2030,76%@2033,7%@2032] EMC_FREQ 1%@1866 GR3D_FREQ 8%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@50.9C Tdiode@50C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5221/4890 VDD_SYS_CPU 1599/1294 VDD_SYS_DDR 1346/1313
RAM 911/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [99%@2032,0%@2034,0%@2035,4%@2029,81%@2032,3%@2032] EMC_FREQ 1%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.5C Tdiode@50C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5221/4973 VDD_SYS_CPU 1751/1408 VDD_SYS_DDR 1307/1312
RAM 973/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@1999,0%@2034,0%@2035,0%@2026,100%@2030,0%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/4976 VDD_SYS_CPU 1675/1461 VDD_SYS_DDR 1250/1299
RAM 1037/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2034,0%@2035,0%@2029,100%@2033,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4973 VDD_SYS_CPU 1675/1497 VDD_SYS_DDR 1250/1291
RAM 1099/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2034,0%@2034,0%@2035,1%@2034,100%@2034,0%@2035] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4970 VDD_SYS_CPU 1675/1522 VDD_SYS_DDR 1250/1285
RAM 1161/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2034,2%@2032,100%@2033,0%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4968 VDD_SYS_CPU 1675/1541 VDD_SYS_DDR 1250/1281
RAM 1223/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2025,0%@2036,0%@2034,0%@2031,100%@2032,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 192/21 VDD_IN 5145/4987 VDD_SYS_CPU 1675/1556 VDD_SYS_DDR 1250/1277
RAM 1285/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2036,0%@2035,0%@2030,100%@2032,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@49.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 365/55 VDD_IN 5335/5022 VDD_SYS_CPU 1675/1568 VDD_SYS_DDR 1250/1274
RAM 1347/7850MB (lfb 402x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2035,0%@2035,1%@2029,100%@2032,1%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% PLL@52C MCPU@52C PMIC@50C Tboard@47C GPU@50C BCPU@52C thermal@51.2C Tdiode@50C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 76/57 VDD_IN 5030/5023 VDD_SYS_CPU 1675/1578 VDD_SYS_DDR 1250/1272
