RAM 1409/7850MB (lfb 390x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2034,0%@2033,0%@2034,1%@2036,0%@2034,100%@2035] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@54.5C BCPU@55.5C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/919 VDD_4V0_WIFI 0/0 VDD_IN 5030/5039 VDD_SYS_CPU 1675/1605 VDD_SYS_DDR 1250/1273
RAM 1469/7850MB (lfb 374x4MB) SWAP 53/3925MB (cached 7MB) CPU [87%@2030,0%@2035,0%@2034,1%@2031,2%@2030,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 7%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@54C BCPU@55.5C thermal@55.2C Tdiode@54.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/919 VDD_4V0_WIFI 307/23 VDD_IN 5450/5071 VDD_SYS_CPU 1599/1604 VDD_SYS_DDR 1288/1274
RAM 1676/7850MB (lfb 369x4MB) SWAP 53/3925MB (cached 7MB) CPU [17%@2025,0%@2035,0%@2034,9%@2027,56%@2028,100%@2028] EMC_FREQ 1%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.2C Tdiode@54.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 990/924 VDD_4V0_WIFI 269/41 VDD_IN 5676/5114 VDD_SYS_CPU 1675/1609 VDD_SYS_DDR 1346/1280
RAM 1877/7850MB (lfb 362x4MB) SWAP 53/3925MB (cached 7MB) CPU [39%@2029,0%@2035,0%@2035,7%@2029,33%@2028,100%@2030] EMC_FREQ 1%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 990/928 VDD_4V0_WIFI 19/39 VDD_IN 5373/5131 VDD_SYS_CPU 1675/1614 VDD_SYS_DDR 1346/1284
RAM 2030/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [22%@2028,0%@2035,0%@2035,9%@2030,42%@2029,100%@2030] EMC_FREQ 3%@1866 GR3D_FREQ 94%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.7C Tdiode@54.75C VDD_SYS_GPU 761/190 VDD_SYS_SOC 989/932 VDD_4V0_WIFI 0/37 VDD_IN 5866/5177 VDD_SYS_CPU 1522/1608 VDD_SYS_DDR 1480/1296
RAM 2032/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [9%@2030,0%@2034,0%@2035,3%@2029,20%@2031,100%@2031] EMC_FREQ 13%@1866 GR3D_FREQ 80%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55C BCPU@56C thermal@55.6C Tdiode@55C VDD_SYS_GPU 1218/250 VDD_SYS_SOC 1141/944 VDD_4V0_WIFI 0/35 VDD_IN 7044/5287 VDD_SYS_CPU 1369/1594 VDD_SYS_DDR 2038/1340
RAM 2033/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [17%@2030,0%@2036,0%@2035,17%@2029,21%@2031,100%@2032] EMC_FREQ 13%@1866 GR3D_FREQ 55%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55C BCPU@56C thermal@55.6C Tdiode@55C VDD_SYS_GPU 1066/295 VDD_SYS_SOC 1065/951 VDD_4V0_WIFI 0/33 VDD_IN 6590/5359 VDD_SYS_CPU 1446/1586 VDD_SYS_DDR 1769/1364
RAM 2033/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [29%@2032,0%@2035,0%@2035,25%@2031,29%@2032,100%@2033] EMC_FREQ 7%@1866 GR3D_FREQ 10%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@55C VDD_SYS_GPU 685/316 VDD_SYS_SOC 990/953 VDD_4V0_WIFI 0/31 VDD_IN 5600/5372 VDD_SYS_CPU 1523/1582 VDD_SYS_DDR 1384/1365
RAM 2117/7850MB (lfb 355x4MB) SWAP 53/3925MB (cached 7MB) CPU [39%@2031,0%@2035,0%@2034,8%@2028,9%@2033,100%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 2%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54C BCPU@56C thermal@55.1C Tdiode@54.25C VDD_SYS_GPU 304/315 VDD_SYS_SOC 990/955 VDD_4V0_WIFI 0/29 VDD_IN 5411/5374 VDD_SYS_CPU 1523/1579 VDD_SYS_DDR 1327/1363
RAM 2281/7850MB (lfb 352x4MB) SWAP 53/3925MB (cached 7MB) CPU [30%@2031,0%@2034,0%@2035,36%@2028,9%@2030,100%@2028] EMC_FREQ 2%@1866 GR3D_FREQ 3%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@54C BCPU@55.5C thermal@54.9C Tdiode@54.25C VDD_SYS_GPU 152/307 VDD_SYS_SOC 990/956 VDD_4V0_WIFI 0/28 VDD_IN 5297/5370 VDD_SYS_CPU 1599/1580 VDD_SYS_DDR 1327/1361
