RAM 1412/7850MB (lfb 385x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2035,0%@2034,2%@2032,0%@2032,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@51.5C BCPU@53C thermal@52.7C Tdiode@51.5C VDD_SYS_GPU 152/202 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5030/5061 VDD_SYS_CPU 1675/1598 VDD_SYS_DDR 1250/1273
RAM 1480/7850MB (lfb 373x4MB) SWAP 53/3925MB (cached 7MB) CPU [91%@2031,0%@2035,0%@2035,2%@2031,2%@2032,100%@2034] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@51.5C BCPU@53C thermal@52.4C Tdiode@51.5C VDD_SYS_GPU 228/204 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5107/5065 VDD_SYS_CPU 1599/1598 VDD_SYS_DDR 1269/1273
RAM 1672/7850MB (lfb 368x4MB) SWAP 53/3925MB (cached 7MB) CPU [27%@2028,0%@2035,0%@2035,7%@2029,48%@2032,100%@2031] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@51.5C BCPU@53C thermal@52.4C Tdiode@51.25C VDD_SYS_GPU 228/206 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5371/5086 VDD_SYS_CPU 1599/1598 VDD_SYS_DDR 1327/1277
RAM 1862/7850MB (lfb 362x4MB) SWAP 53/3925MB (cached 7MB) CPU [38%@2030,0%@2035,0%@2034,8%@2030,38%@2030,100%@2029] EMC_FREQ 1%@1866 GR3D_FREQ 1%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@51C BCPU@53C thermal@52.5C Tdiode@51.25C VDD_SYS_GPU 304/212 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5409/5108 VDD_SYS_CPU 1675/1603 VDD_SYS_DDR 1346/1281
RAM 2040/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [38%@2028,0%@2035,0%@2035,13%@2028,35%@2031,100%@2030] EMC_FREQ 4%@1866 GR3D_FREQ 73%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@53C BCPU@53C thermal@52.7C Tdiode@52.75C VDD_SYS_GPU 1826/313 VDD_SYS_SOC 988/917 VDD_4V0_WIFI 269/16 VDD_IN 7463/5255 VDD_SYS_CPU 1521/1598 VDD_SYS_DDR 1692/1307
RAM 2040/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [21%@2027,0%@2034,0%@2034,15%@2029,26%@2027,100%@2027] EMC_FREQ 18%@1866 GR3D_FREQ 42%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.3C Tdiode@53.25C VDD_SYS_GPU 2434/438 VDD_SYS_SOC 1140/930 VDD_4V0_WIFI 365/37 VDD_IN 9017/5476 VDD_SYS_CPU 1444/1589 VDD_SYS_DDR 2265/1363
RAM 2040/7850MB (lfb 357x4MB) SWAP 53/3925MB (cached 7MB) CPU [15%@2025,0%@2035,0%@2035,41%@2028,29%@2026,100%@2029] EMC_FREQ 11%@1866 GR3D_FREQ 4%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@52.5C BCPU@53C thermal@53.1C Tdiode@51.75C VDD_SYS_GPU 1446/494 VDD_SYS_SOC 989/934 VDD_4V0_WIFI 38/37 VDD_IN 6549/5536 VDD_SYS_CPU 1598/1590 VDD_SYS_DDR 1500/1371
RAM 2093/7850MB (lfb 351x4MB) SWAP 53/3925MB (cached 7MB) CPU [37%@2024,0%@2035,0%@2034,16%@2024,18%@2027,100%@2029] EMC_FREQ 5%@1866 GR3D_FREQ 0%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@51.5C BCPU@53.5C thermal@52.4C Tdiode@51.5C VDD_SYS_GPU 533/496 VDD_SYS_SOC 913/932 VDD_4V0_WIFI 0/35 VDD_IN 5600/5539 VDD_SYS_CPU 1522/1586 VDD_SYS_DDR 1346/1370
RAM 2236/7850MB (lfb 348x4MB) SWAP 53/3925MB (cached 7MB) CPU [31%@2030,0%@2035,0%@2036,14%@2030,28%@2028,100%@2028] EMC_FREQ 3%@1866 GR3D_FREQ 2%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@51.5C BCPU@53C thermal@52.4C Tdiode@51.25C VDD_SYS_GPU 228/482 VDD_SYS_SOC 913/931 VDD_4V0_WIFI 0/33 VDD_IN 5409/5533 VDD_SYS_CPU 1523/1583 VDD_SYS_DDR 1327/1367
RAM 2425/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [12%@2027,0%@2035,0%@2035,18%@2027,9%@2027,100%@2027] EMC_FREQ 9%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@52.5C MCPU@52.5C PMIC@50C Tboard@49C GPU@53.5C BCPU@52.5C thermal@52.4C Tdiode@53.75C VDD_SYS_GPU 2739/590 VDD_SYS_SOC 1064/938 VDD_4V0_WIFI 0/32 VDD_IN 8412/5670 VDD_SYS_CPU 1293/1569 VDD_SYS_DDR 1977/1396
RAM 2425/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [7%@2029,0%@2034,0%@2035,0%@2028,7%@2027,100%@2026] EMC_FREQ 11%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@53C BCPU@53C thermal@52.9C Tdiode@53C VDD_SYS_GPU 2663/684 VDD_SYS_SOC 1064/943 VDD_4V0_WIFI 0/30 VDD_IN 8069/5779 VDD_SYS_CPU 1217/1553 VDD_SYS_DDR 1862/1418
RAM 2424/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [13%@2028,0%@2034,0%@2035,14%@2025,15%@2032,100%@2029] EMC_FREQ 13%@1866 GR3D_FREQ 98%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@49C GPU@54.5C BCPU@53C thermal@53.2C Tdiode@54C VDD_SYS_GPU 3346/800 VDD_SYS_SOC 1064/949 VDD_4V0_WIFI 0/29 VDD_IN 9055/5921 VDD_SYS_CPU 1368/1545 VDD_SYS_DDR 1977/1442
