RAM 1411/7850MB (lfb 393x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2035,0%@2035,0%@2030,1%@2030,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.2C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4992 VDD_SYS_CPU 1675/1592 VDD_SYS_DDR 1250/1273
RAM 1480/7850MB (lfb 382x4MB) SWAP 53/3925MB (cached 7MB) CPU [83%@2031,0%@2035,0%@2035,2%@2029,5%@2032,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 13%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5107/5000 VDD_SYS_CPU 1599/1593 VDD_SYS_DDR 1269/1273
RAM 1672/7850MB (lfb 377x4MB) SWAP 53/3925MB (cached 7MB) CPU [31%@2031,0%@2035,0%@2035,5%@2031,40%@2032,100%@2031] EMC_FREQ 1%@1866 GR3D_FREQ 2%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.1C Tdiode@52C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5297/5022 VDD_SYS_CPU 1599/1593 VDD_SYS_DDR 1327/1277
RAM 1863/7850MB (lfb 370x4MB) SWAP 53/3925MB (cached 7MB) CPU [50%@2031,0%@2034,0%@2035,6%@2029,30%@2032,100%@2031] EMC_FREQ 1%@1866 GR3D_FREQ 3%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.2C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5259/5037 VDD_SYS_CPU 1675/1598 VDD_SYS_DDR 1327/1280
RAM 2018/7850MB (lfb 365x4MB) SWAP 53/3925MB (cached 7MB) CPU [20%@2030,0%@2033,0%@2035,8%@2030,33%@2030,100%@2032] EMC_FREQ 2%@1866 GR3D_FREQ 93%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.4C Tdiode@52.75C VDD_SYS_GPU 685/185 VDD_SYS_SOC 989/917 VDD_4V0_WIFI 0/0 VDD_IN 5638/5075 VDD_SYS_CPU 1447/1589 VDD_SYS_DDR 1442/1290
RAM 2032/7850MB (lfb 365x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2029,0%@2035,0%@2036,4%@2032,17%@2031,100%@2030] EMC_FREQ 11%@1866 GR3D_FREQ 55%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.4C Tdiode@53C VDD_SYS_GPU 1142/241 VDD_SYS_SOC 1065/926 VDD_4V0_WIFI 0/0 VDD_IN 6625/5166 VDD_SYS_CPU 1294/1572 VDD_SYS_DDR 1900/1326
RAM 2032/7850MB (lfb 365x4MB) SWAP 53/3925MB (cached 7MB) CPU [17%@2031,0%@2035,0%@2035,5%@2029,19%@2031,100%@2027] EMC_FREQ 13%@1866 GR3D_FREQ 78%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.3C Tdiode@53C VDD_SYS_GPU 1066/287 VDD_SYS_SOC 1065/934 VDD_4V0_WIFI 0/0 VDD_IN 6552/5243 VDD_SYS_CPU 1370/1560 VDD_SYS_DDR 1862/1356
RAM 2032/7850MB (lfb 365x4MB) SWAP 53/3925MB (cached 7MB) CPU [21%@2032,0%@2036,0%@2035,17%@2029,25%@2028,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 47%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.6C Tdiode@52.5C VDD_SYS_GPU 685/308 VDD_SYS_SOC 989/937 VDD_4V0_WIFI 0/0 VDD_IN 5638/5264 VDD_SYS_CPU 1523/1558 VDD_SYS_DDR 1423/1359
RAM 2076/7850MB (lfb 360x4MB) SWAP 53/3925MB (cached 7MB) CPU [26%@2030,0%@2035,0%@2035,16%@2031,10%@2031,100%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.25C VDD_SYS_GPU 304/308 VDD_SYS_SOC 913/935 VDD_4V0_WIFI 0/0 VDD_IN 5373/5269 VDD_SYS_CPU 1447/1553 VDD_SYS_DDR 1327/1358
RAM 2198/7850MB (lfb 361x4MB) SWAP 53/3925MB (cached 7MB) CPU [43%@2030,0%@2035,0%@2035,6%@2028,24%@2031,100%@2029] EMC_FREQ 2%@1866 GR3D_FREQ 1%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.2C Tdiode@52.25C VDD_SYS_GPU 228/304 VDD_SYS_SOC 913/934 VDD_4V0_WIFI 0/0 VDD_IN 5335/5272 VDD_SYS_CPU 1599/1555 VDD_SYS_DDR 1327/1356
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [16%@2028,0%@2035,0%@2036,2%@2030,26%@2028,100%@2030] EMC_FREQ 6%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@53C VDD_SYS_GPU 913/331 VDD_SYS_SOC 1065/940 VDD_4V0_WIFI 0/0 VDD_IN 6285/5318 VDD_SYS_CPU 1370/1546 VDD_SYS_DDR 1730/1373
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2032,0%@2036,0%@2035,0%@2031,0%@2032,100%@2033] EMC_FREQ 7%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.3C Tdiode@53C VDD_SYS_GPU 1066/363 VDD_SYS_SOC 989/942 VDD_4V0_WIFI 0/0 VDD_IN 6171/5355 VDD_SYS_CPU 1218/1532 VDD_SYS_DDR 1692/1387
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2034,0%@2035,0%@2029,1%@2031,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.6C Tdiode@52.75C VDD_SYS_GPU 990/389 VDD_SYS_SOC 989/944 VDD_4V0_WIFI 0/0 VDD_IN 6095/5386 VDD_SYS_CPU 1218/1519 VDD_SYS_DDR 1653/1398
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2032,0%@2035,0%@2036,0%@2031,4%@2031,100%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.6C Tdiode@52.75C VDD_SYS_GPU 837/407 VDD_SYS_SOC 989/946 VDD_4V0_WIFI 0/0 VDD_IN 5714/5399 VDD_SYS_CPU 1218/1507 VDD_SYS_DDR 1538/1404
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [10%@2032,0%@2035,0%@2035,1%@2032,5%@2031,100%@2030] EMC_FREQ 7%@1866 GR3D_FREQ 94%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.3C Tdiode@53C VDD_SYS_GPU 1066/433 VDD_SYS_SOC 989/948 VDD_4V0_WIFI 0/0 VDD_IN 6171/5429 VDD_SYS_CPU 1294/1499 VDD_SYS_DDR 1692/1415
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [13%@2031,0%@2036,0%@2035,2%@2033,9%@2031,100%@2032] EMC_FREQ 7%@1866 GR3D_FREQ 95%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.3C Tdiode@53C VDD_SYS_GPU 1066/456 VDD_SYS_SOC 989/949 VDD_4V0_WIFI 0/0 VDD_IN 6247/5459 VDD_SYS_CPU 1294/1491 VDD_SYS_DDR 1692/1425
RAM 2422/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2031,0%@2035,0%@2036,0%@2029,0%@2030,100%@2033] EMC_FREQ 5%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.6C Tdiode@53C VDD_SYS_GPU 1294/486 VDD_SYS_SOC 989/951 VDD_4V0_WIFI 0/0 VDD_IN 6019/5479 VDD_SYS_CPU 1218/1481 VDD_SYS_DDR 1480/1427
RAM 2451/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2033,0%@2035,0%@2036,0%@2031,2%@2032,100%@2032] EMC_FREQ 7%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.3C Tdiode@53.25C VDD_SYS_GPU 1370/516 VDD_SYS_SOC 989/952 VDD_4V0_WIFI 0/0 VDD_IN 6400/5511 VDD_SYS_CPU 1218/1472 VDD_SYS_DDR 1673/1435
